START_DATE,Start_Date,Start_Time,END_Time,End_Date,End_Time,CATEGORY,Time_diff,Hour,START,STOP,MILES,Speed,PURPOSE
1/1/2016 21:11,1/1/2016,9:11:00 PM,1/1/2016 21:17,1/1/2016,9:17:00 PM,Business,12:06:00 AM,0.2,Fort Pierce,Fort Pierce,5.1,25.5,Meal/Entertain
1/2/2016 1:25,1/2/2016,1:25:00 AM,1/2/2016 1:37,1/2/2016,1:37:00 AM,Business,0.008333333,0.4,Fort Pierce,Fort Pierce,5,12.5,
1/2/2016 20:25,1/2/2016,8:25:00 PM,1/2/2016 20:38,1/2/2016,8:38:00 PM,Business,0.009027778,0.433333333,Fort Pierce,Fort Pierce,4.8,11.07692308,Errand/Supplies
1/5/2016 17:31,1/5/2016,5:31:00 PM,1/5/2016 17:45,1/5/2016,5:45:00 PM,Business,0.009722222,0.466666667,Fort Pierce,Fort Pierce,4.7,10.07142857,Meeting
1/6/2016 14:42,1/6/2016,2:42:00 PM,1/6/2016 15:49,1/6/2016,3:49:00 PM,Business,0.046527778,0.433333333,Fort Pierce,West Palm Beach,63.7,147,Customer Visit
1/6/2016 17:15,1/6/2016,5:15:00 PM,1/6/2016 17:19,1/6/2016,5:19:00 PM,Business,0.002777778,0.133333333,West Palm Beach,West Palm Beach,4.3,32.25,Meal/Entertain
1/6/2016 17:30,1/6/2016,5:30:00 PM,1/6/2016 17:35,1/6/2016,5:35:00 PM,Business,0.003472222,0.166666667,West Palm Beach,Palm Beach,7.1,42.6,Meeting
1/7/2016 13:27,1/7/2016,1:27:00 PM,1/7/2016 13:33,1/7/2016,1:33:00 PM,Business,0.004166667,0.2,Cary,Cary,0.8,4,Meeting
1/10/2016 8:05,1/10/2016,8:05:00 AM,1/10/2016 8:25,1/10/2016,8:25:00 AM,Business,0.013888889,0.666666667,Cary,Morrisville,8.3,12.45,Meeting
1/10/2016 12:17,1/10/2016,12:17:00 PM,1/10/2016 12:44,1/10/2016,12:44:00 PM,Business,0.01875,0.5,Jamaica,New York,16.5,33,Customer Visit
1/10/2016 15:08,1/10/2016,3:08:00 PM,1/10/2016 15:51,1/10/2016,3:51:00 PM,Business,0.029861111,1.033333333,New York,Queens,10.8,10.4516129,Meeting
1/10/2016 18:18,1/10/2016,6:18:00 PM,1/10/2016 18:53,1/10/2016,6:53:00 PM,Business,0.024305556,0.766666667,Elmhurst,New York,7.5,9.782608696,Meeting
1/10/2016 19:12,1/10/2016,7:12:00 PM,1/10/2016 19:32,1/10/2016,7:32:00 PM,Business,0.013888889,0.666666667,Midtown,East Harlem,6.2,9.3,Meeting
1/11/2016 8:55,1/11/2016,8:55:00 AM,1/11/2016 9:21,1/11/2016,9:21:00 AM,Business,0.018055556,0.466666667,East Harlem,NoMad,6.4,13.71428571,Temporary Site
1/11/2016 11:56,1/11/2016,11:56:00 AM,1/11/2016 12:03,1/11/2016,12:03:00 PM,Business,0.004861111,0.233333333,Flatiron District,Midtown,1.6,6.857142857,Errand/Supplies
1/11/2016 13:32,1/11/2016,1:32:00 PM,1/11/2016 13:46,1/11/2016,1:46:00 PM,Business,0.009722222,0.466666667,Midtown,Midtown East,1.7,3.642857143,Meal/Entertain
1/11/2016 14:30,1/11/2016,2:30:00 PM,1/11/2016 14:43,1/11/2016,2:43:00 PM,Business,0.009027778,0.433333333,Midtown East,Midtown,1.9,4.384615385,Meal/Entertain
1/12/2016 12:33,1/12/2016,12:33:00 PM,1/12/2016 12:49,1/12/2016,12:49:00 PM,Business,0.011111111,0.533333333,Midtown,Hudson Square,1.9,3.5625,Meal/Entertain
1/12/2016 12:53,1/12/2016,12:53:00 PM,1/12/2016 13:09,1/12/2016,1:09:00 PM,Business,0.011111111,0.533333333,Hudson Square,Lower Manhattan,4,7.5,Meal/Entertain
1/12/2016 14:42,1/12/2016,2:42:00 PM,1/12/2016 14:56,1/12/2016,2:56:00 PM,Business,0.009722222,0.466666667,Lower Manhattan,Hudson Square,1.8,3.857142857,Errand/Supplies
1/12/2016 15:13,1/12/2016,3:13:00 PM,1/12/2016 15:28,1/12/2016,3:28:00 PM,Business,0.010416667,0.5,Hudson Square,Hell's Kitchen,2.4,4.8,Customer Visit
1/12/2016 15:42,1/12/2016,3:42:00 PM,1/12/2016 15:54,1/12/2016,3:54:00 PM,Business,0.008333333,0.4,Hell's Kitchen,Midtown,2,5,Errand/Supplies
1/12/2016 16:02,1/12/2016,4:02:00 PM,1/12/2016 17:00,1/12/2016,5:00:00 PM,Business,0.040277778,1.133333333,New York,Queens County,15.1,13.32352941,Meeting
1/13/2016 13:54,1/13/2016,1:54:00 PM,1/13/2016 14:07,1/13/2016,2:07:00 PM,Business,0.009027778,0.433333333,Downtown,Gulfton,11.2,25.84615385,Meeting
1/13/2016 15:00,1/13/2016,3:00:00 PM,1/13/2016 15:28,1/13/2016,3:28:00 PM,Business,0.019444444,0.533333333,Gulfton,Downtown,11.8,22.125,Meeting
1/14/2016 16:29,1/14/2016,4:29:00 PM,1/14/2016 17:05,1/14/2016,5:05:00 PM,Business,0.025,0.8,Houston,Houston,21.9,27.375,Customer Visit
1/14/2016 21:39,1/14/2016,9:39:00 PM,1/14/2016 21:45,1/14/2016,9:45:00 PM,Business,0.004166667,0.2,Eagan Park,Jamestown Court,3.9,19.5,Errand/Supplies
1/15/2016 0:41,1/15/2016,12:41:00 AM,1/15/2016 1:01,1/15/2016,1:01:00 AM,Business,0.013888889,0.666666667,Morrisville,Cary,8,12,Errand/Supplies
1/15/2016 11:43,1/15/2016,11:43:00 AM,1/15/2016 12:03,1/15/2016,12:03:00 PM,Business,0.013888889,0.666666667,Cary,Durham,10.4,15.6,Meal/Entertain
1/15/2016 13:26,1/15/2016,1:26:00 PM,1/15/2016 13:44,1/15/2016,1:44:00 PM,Business,0.0125,0.6,Durham,Cary,10.4,17.33333333,Meal/Entertain
1/18/2016 14:55,1/18/2016,2:55:00 PM,1/18/2016 15:06,1/18/2016,3:06:00 PM,Business,0.007638889,0.366666667,Cary,Cary,4.8,13.09090909,Meal/Entertain
1/18/2016 16:13,1/18/2016,4:13:00 PM,1/18/2016 16:24,1/18/2016,4:24:00 PM,Business,0.007638889,0.366666667,Farmington Woods,Whitebridge,4.7,12.81818182,Meal/Entertain
1/19/2016 9:09,1/19/2016,9:09:00 AM,1/19/2016 9:23,1/19/2016,9:23:00 AM,Business,0.009722222,0.466666667,Whitebridge,Lake Wellingborough,7.2,15.42857143,
1/19/2016 10:55,1/19/2016,10:55:00 AM,1/19/2016 11:09,1/19/2016,11:09:00 AM,Business,0.009722222,0.466666667,Lake Wellingborough,Whitebridge,7.6,16.28571429,Temporary Site
1/20/2016 10:36,1/20/2016,10:36:00 AM,1/20/2016 11:11,1/20/2016,11:11:00 AM,Business,0.024305556,0.766666667,Cary,Raleigh,17.1,22.30434783,Meeting
1/20/2016 11:48,1/20/2016,11:48:00 AM,1/20/2016 12:19,1/20/2016,12:19:00 PM,Business,0.021527778,0.633333333,Fayetteville Street,Umstead,15.1,23.84210526,Meeting
